,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2009,1,1,0,-9.7,0.3,-12.3,0.2,84,3,931.3,0.5,2.5,0.8,0,0
1,2009,1,1,1,-11.1,0.3,-13.6,0.2,84,3,930.5,0.5,2.4,0.8,0,0
2,2009,1,1,2,-12.4,0.3,-14.9,0.2,83,2,929.7,0.5,2.3,0.7,0,0
3,2009,1,1,3,-13.8,0.3,-16.2,0.2,83,2,928.9,0.5,2.3,0.7,0,0
4,2009,1,1,4,-15.1,0.3,-17.5,0.2,83,2,928.2,0.5,2.2,0.7,0,0
5,2009,1,1,5,-16.5,0.3,-18.8,0.2,82,2,927.4,0.5,2.2,0.7,0,0
6,2009,1,1,6,-17.8,0.3,-20.1,0.2,82,2,926.6,0.5,2.1,0.7,0,0
7,2009,1,1,7,-18.2,0.3,-20.5,0.2,82,2,927.2,0.5,2.4,0.8,0,0
8,2009,1,1,8,-17.9,0.3,-20.3,0.2,81,2,927.7,0.5,1.4,0.4,3,0
9,2009,1,1,9,-15.2,0.3,-18.0,0.2,79,2,928.3,0.5,0.8,0.3,136,4
10,2009,1,1,10,-12.0,0.3,-16.5,0.2,69,2,928.7,0.5,1.0,0.3,294,9
11,2009,1,1,11,-9.2,0.3,-15.1,0.2,62,2,928.5,0.5,3.0,1.0,478,14
12,2009,1,1,12,-7.4,0.3,-14.9,0.2,55,2,927.7,0.5,3.1,1.0,525,16
13,2009,1,1,13,-5.2,0.3,-14.5,0.2,48,1,927.1,0.5,3.7,1.2,528,16
14,2009,1,1,14,-3.4,0.3,-14.5,0.2,42,1,926.9,0.5,3.4,1.1,489,15
15,2009,1,1,15,-3.3,0.3,-14.7,0.2,41,1,927.2,0.5,4.3,1.4,392,12
16,2009,1,1,16,-4.3,0.3,-15.0,0.2,43,1,927.9,0.5,5.0,1.6,239,7
17,2009,1,1,17,-5.2,0.3,-15.0,0.2,46,1,928.4,0.5,3.4,1.1,78,2
18,2009,1,1,18,-6.9,0.3,-15.1,0.2,52,2,929.0,0.5,3.0,1.0,3,0
19,2009,1,1,19,-7.8,0.3,-15.5,0.2,54,2,929.7,0.5,1.5,0.5,0,0
20,2009,1,1,20,-8.4,0.3,-15.8,0.2,55,2,930.4,0.5,2.0,0.6,0,0
21,2009,1,1,21,-11.3,0.3,-16.2,0.2,67,2,930.6,0.5,2.2,0.7,0,0
22,2009,1,1,22,-11.7,0.3,-16.0,0.2,70,2,930.6,0.5,1.1,0.4,0,0
23,2009,1,1,23,-13.6,0.3,-17.0,0.2,75,2,930.9,0.5,2.8,0.9,0,0
24,2009,1,2,0,-13.9,0.3,-17.0,0.2,77,2,930.9,0.5,0.7,0.2,0,0
25,2009,1,2,1,-14.5,0.3,-17.4,0.2,78,2,930.9,0.5,0.3,0.1,0,0
26,2009,1,2,2,-15.1,0.3,-17.9,0.2,79,2,930.9,0.5,1.1,0.4,0,0
27,2009,1,2,3,-15.7,0.3,-18.2,0.2,81,2,931.3,0.5,0.7,0.2,0,0
28,2009,1,2,4,-16.3,0.3,-18.6,0.2,82,2,931.4,0.5,0.3,0.1,0,0
29,2009,1,2,5,-17.2,0.3,-19.5,0.2,82,2,931.5,0.5,0.1,0.0,0,0
30,2009,1,2,6,-17.5,0.3,-19.9,0.2,81,2,931.9,0.5,0.1,0.0,0,0
31,2009,1,2,7,-17.7,0.3,-19.8,0.2,83,2,932.2,0.5,0.4,0.1,0,0
32,2009,1,2,8,-18.2,0.3,-20.6,0.2,81,2,932.6,0.5,0.2,0.1,0,0
33,2009,1,2,9,-14.5,0.3,-17.4,0.2,78,2,932.8,0.5,0.4,0.1,133,4
34,2009,1,2,10,-9.9,0.3,-14.8,0.2,67,2,933.0,0.5,0.2,0.1,336,10
35,2009,1,2,11,-7.0,0.3,-14.3,0.2,56,2,932.9,0.5,0.5,0.2,475,14
36,2009,1,2,12,-4.3,0.3,-14.4,0.2,45,1,932.5,0.5,2.6,0.8,517,16
37,2009,1,2,13,-2.8,0.3,-14.2,0.2,41,1,931.9,0.5,2.7,0.9,544,16
38,2009,1,2,14,-1.2,0.3,-16.2,0.2,31,1,931.5,0.5,2.2,0.7,508,15
39,2009,1,2,15,-1.0,0.3,-14.2,0.2,36,1,931.9,0.5,3.5,1.1,403,12
40,2009,1,2,16,-1.4,0.3,-13.9,0.2,38,1,932.1,0.5,4.1,1.3,239,7
41,2009,1,2,17,-2.5,0.3,-13.9,0.2,41,1,932.4,0.5,3.0,1.0,81,2
42,2009,1,2,18,-5.4,0.3,-13.2,0.2,54,2,933.0,0.5,2.7,0.9,0,0
43,2009,1,2,19,-7.3,0.3,-13.7,0.2,60,2,933.6,0.5,2.7,0.9,0,0
44,2009,1,2,20,-9.2,0.3,-14.2,0.2,67,2,933.9,0.5,2.4,0.8,0,0
45,2009,1,2,21,-9.5,0.3,-14.4,0.2,67,2,933.8,0.5,0.8,0.3,0,0
46,2009,1,2,22,-11.5,0.3,-14.8,0.2,76,2,934.1,0.5,1.1,0.4,0,0
47,2009,1,2,23,-13.1,0.3,-16.4,0.2,76,2,934.2,0.5,1.2,0.4,0,0
48,2009,1,3,0,-13.9,0.3,-16.6,0.2,80,2,934.0,0.5,0.8,0.3,0,0
49,2009,1,3,1,-15.3,0.3,-17.8,0.2,81,2,933.8,0.5,0.7,0.2,0,0
50,2009,1,3,2,-15.8,0.3,-18.3,0.2,81,2,933.7,0.5,0.1,0.0,0,0
51,2009,1,3,3,-16.3,0.3,-18.5,0.2,83,2,934.0,0.5,0.1,0.0,0,0
52,2009,1,3,4,-16.2,0.3,-18.4,0.2,83,2,934.0,0.5,0.0,0.0,0,0
53,2009,1,3,5,-16.5,0.3,-18.7,0.2,83,2,934.1,0.5,0.8,0.3,0,0
54,2009,1,3,6,-17.1,0.3,-19.3,0.2,83,2,933.9,0.5,0.0,0.0,0,0
55,2009,1,3,7,-17.3,0.3,-19.6,0.2,82,2,934.4,0.5,0.5,0.2,0,0
56,2009,1,3,8,-16.7,0.3,-19.0,0.2,82,2,934.5,0.5,1.0,0.3,0,0
57,2009,1,3,9,-13.8,0.3,-16.6,0.2,79,2,934.4,0.5,0.5,0.2,142,4
58,2009,1,3,10,-8.6,0.3,-13.2,0.2,69,2,934.5,0.5,1.5,0.5,297,9
59,2009,1,3,11,-4.1,0.3,-13.2,0.2,49,1,934.2,0.5,0.8,0.3,461,14
60,2009,1,3,12,-1.9,0.3,-15.3,0.2,35,1,933.3,0.5,2.5,0.8,511,15
61,2009,1,3,13,-0.1,0.3,-15.2,0.2,31,1,932.4,0.5,3.4,1.1,542,16
62,2009,1,3,14,1.2,0.3,-14.5,0.2,30,1,931.7,0.5,3.3,1.1,503,15
63,2009,1,3,15,1.5,0.3,-15.5,0.2,27,1,931.5,0.5,3.9,1.2,400,12
64,2009,1,3,16,1.7,0.3,-14.9,0.2,28,1,931.7,0.5,3.6,1.2,239,7
65,2009,1,3,17,0.0,0.3,-14.7,0.2,32,1,932.1,0.5,4.0,1.3,81,2
66,2009,1,3,18,-1.6,0.3,-14.7,0.2,36,1,932.4,0.5,1.7,0.5,3,0
67,2009,1,3,19,-5.0,0.3,-12.8,0.2,54,2,933.0,0.5,2.8,0.9,0,0
68,2009,1,3,20,-4.6,0.3,-12.9,0.2,52,2,933.2,0.5,2.5,0.8,0,0
69,2009,1,3,21,-6.0,0.3,-13.1,0.2,57,2,933.3,0.5,2.6,0.8,0,0
70,2009,1,3,22,-7.1,0.3,-12.9,0.2,63,2,933.1,0.5,4.0,1.3,0,0
71,2009,1,3,23,-8.0,0.3,-13.0,0.2,67,2,932.7,0.5,1.0,0.3,0,0
72,2009,1,4,0,-8.6,0.3,-13.0,0.2,70,2,932.7,0.5,1.3,0.4,0,0
